datetime,open,high,low,close,volume
2025-02-21 19:45:00+00:00,188.265,188.371,188.218,188.305,3483
2025-02-21 20:00:00+00:00,188.303,188.351,188.256,188.303,3462
2025-02-21 20:15:00+00:00,188.304,188.328,188.263,188.295,3221
2025-02-21 20:30:00+00:00,188.294,188.463,188.284,188.438,2822
2025-02-21 20:45:00+00:00,188.438,188.451,188.354,188.366,3695
2025-02-21 21:00:00+00:00,188.37,188.438,188.357,188.409,2275
2025-02-21 21:15:00+00:00,188.41,188.417,188.346,188.354,1489
2025-02-21 21:30:00+00:00,188.348,188.498,188.339,188.493,1645
2025-02-21 21:45:00+00:00,188.494,188.639,188.488,188.614,1060
2025-02-23 22:00:00+00:00,188.527,188.674,188.527,188.587,138
2025-02-23 22:15:00+00:00,188.588,188.708,188.57,188.633,164
2025-02-23 22:30:00+00:00,188.632,188.671,188.62,188.63,524
2025-02-23 22:45:00+00:00,188.62,188.748,188.586,188.654,770
2025-02-23 23:00:00+00:00,188.614,188.854,188.553,188.824,1476
2025-02-23 23:15:00+00:00,188.824,189.037,188.806,188.988,1770
2025-02-23 23:30:00+00:00,188.988,189.01,188.698,188.706,2016
2025-02-23 23:45:00+00:00,188.706,188.986,188.66,188.978,2168
2025-02-24 00:00:00+00:00,188.978,188.978,188.767,188.81,2714
2025-02-24 00:15:00+00:00,188.808,188.818,188.614,188.79,3459
2025-02-24 00:30:00+00:00,188.786,188.808,188.704,188.788,3532
2025-02-24 00:45:00+00:00,188.789,188.791,188.614,188.64,4016
2025-02-24 01:00:00+00:00,188.642,188.899,188.642,188.726,4354
2025-02-24 01:15:00+00:00,188.725,188.856,188.702,188.844,4278
2025-02-24 01:30:00+00:00,188.846,189.022,188.792,188.974,4626
2025-02-24 01:45:00+00:00,188.976,189.245,188.926,189.209,3894
2025-02-24 02:00:00+00:00,189.22,189.508,189.211,189.482,3666
2025-02-24 02:15:00+00:00,189.474,189.582,189.354,189.41,3228
2025-02-24 02:30:00+00:00,189.408,189.546,189.394,189.455,3151
2025-02-24 02:45:00+00:00,189.454,189.482,189.289,189.3,3419
2025-02-24 03:00:00+00:00,189.299,189.406,189.276,189.376,2830
2025-02-24 03:15:00+00:00,189.382,189.468,189.298,189.338,3521
2025-02-24 03:30:00+00:00,189.334,189.34,189.103,189.146,2422
2025-02-24 03:45:00+00:00,189.146,189.168,189.076,189.161,2401
2025-02-24 04:00:00+00:00,189.158,189.232,189.127,189.222,2625
2025-02-24 04:15:00+00:00,189.221,189.268,189.16,189.218,1929
2025-02-24 04:30:00+00:00,189.218,189.248,189.152,189.195,2160
2025-02-24 04:45:00+00:00,189.194,189.247,189.147,189.162,2529
