equity,drawdown,position
9998.3737,3.1989179226669884e-05,1
9998.36636,3.272327513264081e-05,1
9998.35874,3.348537469716997e-05,1
9998.3513,3.422947190969087e-05,1
9998.34384,3.49755693836673e-05,1
9998.33582,3.5777674174578265e-05,1
9998.328230000001,3.6536773347015085e-05,1
9998.320670000001,3.729287212754149e-05,1
9998.312870000002,3.807297404389698e-05,1
9998.305640000002,7.231220000073649e-07,1
9998.298480000003,1.4392428188193826e-06,1
9998.290730000002,2.214373593524714e-06,1
9998.282890000002,2.998505886857798e-06,1
9998.274330000002,3.854650329576757e-06,1
9998.265410000002,4.746800846988654e-06,1
9998.256490000002,5.638951364400552e-06,1
9998.247310000002,6.557106268979503e-06,1
9998.238270000002,7.461258811349689e-06,1
9998.229640000001,8.324404435263996e-06,1
9998.220840000002,9.204552927717603e-06,1
9998.212360000001,1.0052696020525013e-05,1
9998.203000000001,1.0988853962541398e-05,1
9998.19352,1.1937013929516072e-05,1
9998.18366,1.2923180308616089e-05,1
9998.174860000001,1.3803328801069696e-05,1
9998.166140000001,1.4675475943611754e-05,1
9998.157060000001,1.5583629160846753e-05,1
9998.147810000002,1.6508785246621048e-05,1
9998.138050000001,1.7484949938377112e-05,1
9998.127890000002,1.850112137969092e-05,1
9998.116710000002,1.96193100326044e-05,1
9998.106350000002,2.065548484878805e-05,1
9998.096320000002,2.1658654096427366e-05,1
9998.087020000003,2.258881102596461e-05,1
9998.077740000002,2.3516967618069444e-05,1
9998.068480000002,2.4443123872741874e-05,1
9998.058730000002,2.5418288395599803e-05,1
9998.048030000002,2.6488468949043983e-05,1
9998.037220000002,2.7569651358548322e-05,1
9998.027580000002,2.8533814025346095e-05,1
9998.018570000002,2.9434966061385744e-05,1
9998.010530000001,3.0239101729588667e-05,1
9998.00328,3.096422406721037e-05,1
9997.99573,3.171935146704586e-05,1
9997.98769,3.2523487135248785e-05,1
9997.97935,3.33576278656655e-05,1
9997.97149,3.414376049643099e-05,1
9997.96337,3.495589751454546e-05,1
9997.95479,3.5814042294696824e-05,1
9997.94723,3.657016986324852e-05,1
9997.93903,3.739030823127454e-05,1
9997.931789999999,3.8114430400180036e-05,1
9997.925009999999,3.879254480686671e-05,1
9997.91815,3.9478660563464934e-05,1
9997.91185,4.0108766870500386e-05,1
9997.90473,4.082088701444759e-05,1
9997.89673,4.1621022007603774e-05,1
9997.88812,4.248216729408567e-05,1
9997.87995,4.329930515578116e-05,1
9997.871640000001,4.413044537986734e-05,1
