step,action,pre_position,post_position,pre_equity,post_equity,reward,cost_incurred
235,BUY,1,1,9999.15505000001,9999.15028000001,0.310230000000447,0.0
236,BUY,1,1,9999.15028000001,9999.144930000011,0.3086500000005471,0.0
237,BUY,1,1,9999.144930000011,9999.138960000011,0.3070299999998387,0.0
238,BUY,1,1,9999.138960000011,9999.13300000001,0.3060399999995861,0.0
239,BUY,1,1,9999.13300000001,9999.12834000001,0.30633999999948713,0.0
240,BUY,1,1,9999.12834000001,9999.12479000001,0.30645000000055,0.0
241,BUY,1,1,9999.12479000001,9999.121730000012,0.3059400000009045,0.0
242,BUY,1,1,9999.121730000012,9999.118630000012,0.304900000000096,0.0
243,BUY,1,1,9999.118630000012,9999.115450000012,0.30382000000029796,0.0
244,BUY,1,1,9999.115450000012,9999.111550000012,0.3021000000002968,0.0
245,BUY,1,1,9999.111550000012,9999.108370000013,0.30182000000029796,0.0
246,BUY,1,1,9999.108370000013,9999.105700000013,0.3013300000001472,0.0
247,BUY,1,1,9999.105700000013,9999.103720000014,0.30102000000090623,0.0
248,BUY,1,1,9999.103720000014,9999.101900000014,0.30018000000050227,0.0
249,BUY,1,1,9999.101900000014,9999.099820000014,0.29891999999979446,0.0
250,BUY,1,1,9999.099820000014,9999.097580000014,0.2977600000001984,0.0
251,BUY,1,1,9999.097580000014,9999.094420000014,0.2958399999997927,0.0
252,BUY,1,1,9999.094420000014,9999.091560000013,0.29513999999949003,0.0
253,BUY,1,1,9999.091560000013,9999.088180000013,0.2936199999998934,0.0
254,BUY,1,1,9999.088180000013,9999.085750000013,0.29356999999954125,0.0
255,BUY,1,1,9999.085750000013,9999.083420000014,0.292670000000653,0.0
256,BUY,1,1,9999.083420000014,9999.080480000013,0.291059999999692,0.0
257,BUY,1,1,9999.080480000013,9999.077920000012,0.29043999999918735,0.0
258,BUY,1,1,9999.077920000012,9999.075500000012,0.28957999999928863,0.0
259,BUY,1,1,9999.075500000012,9999.073460000012,0.28896000000060296,0.0
260,BUY,1,1,9999.073460000012,9999.071260000012,0.2877999999991879,0.0
261,BUY,1,1,9999.071260000012,9999.069100000012,0.28683999999999643,0.0
262,BUY,1,1,9999.069100000012,9999.066520000011,0.2854199999996926,0.0
263,BUY,1,1,9999.066520000011,9999.06244000001,0.282919999999387,0.0
264,BUY,1,1,9999.06244000001,9999.058240000011,0.28180000000059946,0.0
265,BUY,1,1,9999.058240000011,9999.054060000011,0.2808200000000942,0.0
266,BUY,1,1,9999.054060000011,9999.05012000001,0.2800599999994883,0.0
267,BUY,1,1,9999.05012000001,9999.04646000001,0.27933999999969084,0.0
268,BUY,1,1,9999.04646000001,9999.042980000011,0.2785200000006006,0.0
269,BUY,1,1,9999.042980000011,9999.03947000001,0.2774899999995395,0.0
270,BUY,1,1,9999.03947000001,9999.03539000001,0.275919999999387,0.0
271,BUY,1,1,9999.03539000001,9999.03156000001,0.2751700000003474,0.0
272,BUY,1,1,9999.03156000001,9999.02748000001,0.273919999999387,0.0
273,BUY,1,1,9999.02748000001,9999.02246000001,0.2719799999994865,0.0
274,BUY,1,1,9999.02246000001,9999.017440000009,0.2709799999994865,0.0
275,BUY,1,1,9999.017440000009,9999.012420000008,0.2699799999994865,0.0
276,BUY,1,1,9999.012420000008,9999.007390000008,0.2689699999997392,0.0
277,BUY,1,1,9999.007390000008,9999.002350000008,0.2679599999999918,0.0
278,BUY,1,1,9999.002350000008,9998.997780000009,0.26743000000085154,0.0
279,BUY,1,1,9998.997780000009,9998.992260000008,0.2654799999993847,0.0
280,BUY,1,1,9998.992260000008,9998.987980000009,0.2657200000008015,0.0
281,BUY,1,1,9998.987980000009,9998.983980000008,0.26499999999918505,0.0
282,BUY,1,1,9998.983980000008,9998.980160000008,0.26418000000009484,0.0
283,BUY,1,1,9998.980160000008,9998.976540000009,0.2633800000004994,0.0
284,BUY,1,1,9998.976540000009,9998.97306000001,0.26252000000060066,0.0
285,BUY,1,1,9998.97306000001,9998.96835000001,0.26029000000075025,0.0
286,BUY,1,1,9998.96835000001,9998.96387000001,0.25952000000039693,0.0
287,BUY,1,1,9998.96387000001,9998.95899000001,0.25811999999958785,0.0
288,BUY,1,1,9998.95899000001,9998.953410000011,0.2564200000009004,0.0
289,BUY,1,1,9998.953410000011,9998.948010000011,0.2555999999999912,0.0
290,BUY,1,1,9998.948010000011,9998.943230000012,0.2552200000006996,0.0
291,BUY,1,1,9998.943230000012,9998.938570000011,0.25433999999948714,0.0
292,BUY,1,1,9998.938570000011,9998.93414000001,0.2535699999991338,0.0
293,BUY,1,1,9998.93414000001,9998.929860000011,0.25272000000080147,0.0
294,BUY,1,1,9998.929860000011,9998.925360000012,0.25150000000090217,0.0
295,BUY,1,1,9998.925360000012,9998.920960000012,0.25060000000019494,0.0
296,BUY,1,1,9998.920960000012,9998.916840000013,0.2498800000003975,0.0
297,BUY,1,1,9998.916840000013,9998.913030000012,0.2491899999998422,0.0
298,BUY,1,1,9998.913030000012,9998.909520000012,0.24848999999953952,0.0
299,BUY,1,1,9998.909520000012,9998.906730000012,0.2482099999995407,0.0
300,BUY,1,1,9998.906730000012,9998.904390000012,0.24766000000090566,0.0
301,BUY,1,1,9998.904390000012,9998.902130000013,0.24674000000070367,0.0
302,BUY,1,1,9998.902130000013,9998.899650000014,0.24552000000080437,0.0
303,BUY,1,1,9998.899650000014,9998.897090000013,0.24443999999918736,0.0
304,BUY,1,1,9998.897090000013,9998.893920000013,0.24283000000004534,0.0
305,BUY,1,1,9998.893920000013,9998.890420000012,0.2414999999992869,0.0
306,BUY,1,1,9998.890420000012,9998.885000000013,0.23858000000049645,0.0
307,BUY,1,1,9998.885000000013,9998.878150000013,0.2361500000002415,0.0
308,BUY,1,1,9998.878150000013,9998.872410000013,0.23625999999948538,0.0
309,BUY,1,1,9998.872410000013,9998.867390000012,0.23597999999948657,0.0
310,BUY,1,1,9998.867390000012,9998.863400000013,0.23601000000075142,0.0
311,BUY,1,1,9998.863400000013,9998.858230000013,0.2338299999996379,0.0
312,BUY,1,1,9998.858230000013,9998.852610000013,0.23238000000009193,0.0
313,BUY,1,1,9998.852610000013,9998.846220000012,0.23060999999953488,0.0
314,BUY,1,1,9998.846220000012,9998.841140000011,0.2309199999991833,0.0
315,BUY,1,1,9998.841140000011,9998.835500000012,0.22936000000059717,0.0
316,BUY,1,1,9998.835500000012,9998.829850000013,0.2283500000008498,0.0
317,BUY,1,1,9998.829850000013,9998.825250000013,0.2283999999997904,0.0
318,BUY,1,1,9998.825250000013,9998.820310000012,0.22705999999928458,0.0
319,BUY,1,1,9998.820310000012,9998.815290000011,0.22597999999948656,0.0
320,BUY,1,1,9998.815290000011,9998.810430000012,0.2251400000009016,0.0
321,BUY,1,1,9998.810430000012,9998.805980000012,0.22454999999963907,0.0
322,BUY,1,1,9998.805980000012,9998.801740000012,0.223759999999791,0.0
323,BUY,1,1,9998.801740000012,9998.796780000011,0.22203999999978982,0.0
324,BUY,1,1,9998.796780000011,9998.791600000011,0.22081999999989052,0.0
325,BUY,1,1,9998.791600000011,9998.786000000011,0.21939999999958668,0.0
326,BUY,1,1,9998.786000000011,9998.78026000001,0.2182599999994854,0.0
327,BUY,1,1,9998.78026000001,9998.775400000011,0.21814000000090158,0.0
328,BUY,1,1,9998.775400000011,9998.771480000012,0.21808000000080205,0.0
329,BUY,1,1,9998.771480000012,9998.768660000012,0.21818000000029855,0.0
330,BUY,1,1,9998.768660000012,9998.764460000013,0.21580000000059948,0.0
331,BUY,1,1,9998.764460000013,9998.759560000013,0.21410000000009308,0.0
332,BUY,1,1,9998.759560000013,9998.754170000013,0.2126099999997386,0.0
333,BUY,1,1,9998.754170000013,9998.749430000013,0.21225999999968911,0.0
334,BUY,1,1,9998.749430000013,9998.746590000013,0.2131600000008038,0.0
335,BUY,1,1,9998.746590000013,9998.743050000014,0.21146000000029738,0.0
336,BUY,1,1,9998.743050000014,9998.738830000013,0.20977999999928573,0.0
337,BUY,1,1,9998.738830000013,9998.735710000014,0.20988000000060122,0.0
338,BUY,1,1,9998.735710000014,9998.735610000014,0.21190000000070716,0.0
339,BUY,1,1,9998.735610000014,9998.733460000014,0.20884999999974382,0.0
340,BUY,1,1,9998.733460000014,9998.730740000014,0.20727999999959135,0.0
341,BUY,1,1,9998.730740000014,9998.728880000013,0.2071399999996938,0.0
342,BUY,1,1,9998.728880000013,9998.727650000013,0.20677000000014956,0.0
343,BUY,1,1,9998.727650000013,9998.726250000014,0.20560000000080614,0.0
344,BUY,1,1,9998.726250000014,9998.726410000014,0.206159999999596,0.0
345,BUY,1,1,9998.726410000014,9998.725740000014,0.20433000000055468,0.0
346,BUY,1,1,9998.725740000014,9998.725730000015,0.20399000000025258,0.0
347,BUY,1,1,9998.725730000015,9998.726860000015,0.2041300000005576,0.0
348,BUY,1,1,9998.726860000015,9998.728140000016,0.20328000000040625,0.0
349,BUY,1,1,9998.728140000016,9998.729580000016,0.20244000000000228,0.0
350,BUY,1,1,9998.729580000016,9998.730450000015,0.20086999999984978,0.0
351,BUY,1,1,9998.730450000015,9998.730530000015,0.19907999999979797,0.0
352,BUY,1,1,9998.730530000015,9998.731060000015,0.19852999999934395,0.0
353,BUY,1,1,9998.731060000015,9998.732010000014,0.1979499999996478,0.0
354,BUY,1,1,9998.732010000014,9998.732670000014,0.19665999999969785,0.0
355,BUY,1,1,9998.732670000014,9998.734010000015,0.1963400000007095,0.0
356,BUY,1,1,9998.734010000015,9998.735830000014,0.19581999999949762,0.0
357,BUY,1,1,9998.735830000014,9998.737590000013,0.19475999999919436,0.0
358,BUY,1,1,9998.737590000013,9998.739690000013,0.19409999999970018,0.0
